Address,Price per month €,Capacity,Link
"Apartment At 607 North Circular Road, North Circular Road, Dublin 7",1350,studio apartment to rent,https://www.rent.ie/houses-to-let/Apartment-At-607-North-Circular-Road-North-Circular-Road-Dublin-7/5498580/
"Martello Terrace, Balbriggan, Co. Dublin",1875,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Martello-Terrace-Balbriggan-Co-Dublin/5498551/
"16 Belleville, Blackhorse Avenue, Ashtown, Dublin 15",2250,"2 bedrooms (2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/16-Belleville-Blackhorse-Avenue-Ashtown-Dublin-15/5498549/
"The Oak, Rockfield, Dundrum, Dublin 14",1774,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Oak-Rockfield-Dundrum-Dublin-14/5498542/
"Walsh Road, Drumcondra, Dublin 3",2300,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Walsh-Road-Drumcondra-Dublin-3/5497312/
"Old City Music Hall, Cows Lane, Temple Bar, Dublin 2",2000,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Old-City-Music-Hall-Cows-Lane-Temple-Bar-Dublin-2/5497298/
"Rathborne Court Earlswood, Ashtown, Dublin 15",1800,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Rathborne-Court-Earlswood-Ashtown-Dublin-15/5497269/
"The Sweepstakes, Ballsbridge, Dublin 4",1720,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Sweepstakes-Ballsbridge-Dublin-4/5474807/
"Mespil Estate Dubllin 4, Donnybrook, Dublin 4",1745,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Mespil-Estate-Dubllin-4-Donnybrook-Dublin-4/5497304/
"The Copse, Woodpark, Ballinteer, Dublin 16",2100,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Copse-Woodpark-Ballinteer-Dublin-16/5497297/
