,Address,Price per month €,Capacity,Link
4268,"Bowbridge Place, Kilmainham, Dublin 8",0.0,Apartment,https://www.myhome.ie/rentals/brochure/bowbridge-place-kilmainham-dublin-8/4411211
4176,"Sean McDermott Street Apartments, Sean McDermott Street Lower, Dublin 1, Dublin",0.0,", Apartment",https://www.myhome.ie/rentals/brochure/sean-mcdermott-street-apartments-sean-mcdermott-street-lower-dublin-1-dublin/4483891
4263,"Christchurch View, Christchurch, Dublin 8",0.0,Apartment,https://www.myhome.ie/rentals/brochure/christchurch-view-christchurch-dublin-8/4415413
3733,"39 Boroimhe Hawthorns, Swords,   North County Dublin",0.0,"2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/39-boroimhe-hawthorns-swords-north-county-dublin/4506069
4261,"Kenilworth Road, Rathmines, Dublin 6",0.0,Apartment,https://www.myhome.ie/rentals/brochure/kenilworth-road-rathmines-dublin-6/4419731
4262,"Cranford Court, Donnybrook, Dublin 4",0.0,Apartment,https://www.myhome.ie/rentals/brochure/cranford-court-donnybrook-dublin-4/4418145
4264,"St Peters Terrace, Walkinstown, Dublin 12",0.0,Terraced House,https://www.myhome.ie/rentals/brochure/st-peters-terrace-walkinstown-dublin-12/4414551
4265,"Leicester Avenue, Rathgar, Dublin 6",0.0,House,https://www.myhome.ie/rentals/brochure/leicester-avenue-rathgar-dublin-6/4414550
4267,"Bachelors walk, Dublin 1, Dublin",0.0,Apartment,https://www.myhome.ie/rentals/brochure/bachelors-walk-dublin-1-dublin/4411935
4082,"O'connell Street Lower, Dublin 1, Dublin, D01 HR04",0.0,Apartment,https://www.myhome.ie/rentals/brochure/o-connell-street-lower-dublin-1-dublin-d01-hr04/4501392
1979,"Twin Bed Sharing, Archway Court , 39A Mountjoy Street, Dublin 7",490.0,"1 bedroom (1 twin), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Twin-Bed-Sharing-Archway-Court--39A-Mountjoy-Street-Dublin-7/3504594/
3394,"Twin Bed Sharing, Archway Court , 39A Mountjoy Street, Dublin 7, Co. Dublin",490.0,"1 bedroom (1 twin), 3 bathrooms, furnished house",https://www.let.ie/short-term-rental/Twin-Bed-Sharing-Archway-Court--39A-Mountjoy-Street-Dublin-7-Co-Dublin/3504594
4332,"Archway Court, 39A Mountjoy Street, Dublin 7",490.0,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
4334,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",500.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
