Address,Prices,Capacity,Link
"12 The Weir, Martins Row, Chapelizod, Dublin 20","€1,900 per month","2 beds, 2 baths, 65m 2, , Apartment",https://www.myhome.ie/rentals/brochure/12-the-weir-martins-row-chapelizod-dublin-20/4512266
"3 Clyde Road, Ballsbridge, Dublin 4","€15,000 per month","5 beds, 7 baths, , Semi-Detached",https://www.myhome.ie/rentals/brochure/3-clyde-road-ballsbridge-dublin-4/4482156
"34 Huntstown Road, Blanchardstown, Dublin 15","€1,950 per month","3 beds, 1 bath, , House",https://www.myhome.ie/rentals/brochure/34-huntstown-road-blanchardstown-dublin-15/4295357
"Grand Canal Wharf, South Dock Street, Grand Canal Dk, Dublin 4, D04YX05","€2,300 per month","2 beds, 2 baths, 70m 2, , Apartment",https://www.myhome.ie/rentals/brochure/grand-canal-wharf-south-dock-street-grand-canal-dk-dublin-4-d04yx05/4504622
"Malahide Road, Donnycarney, Dublin 3","€1,700 per month","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/malahide-road-donnycarney-dublin-3/4512225
"Apt 56 Pakenham House, Spencer Dock, IFSC, Dublin 1, D01YW59","€3,000 per month","3 beds, 3 baths, 103m 2, , Apartment",https://www.myhome.ie/rentals/brochure/apt-56-pakenham-house-spencer-dock-ifsc-dublin-1-d01yw59/4506521
"Liffey Crescent, Lucan, County Dublin","€2,100 per month","3 beds, 2 baths, House",https://www.myhome.ie/rentals/brochure/liffey-crescent-lucan-county-dublin/4512217
"32-33 Stoneybatter, North City Centre, Dublin 7","€1,650 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/32-33-stoneybatter-north-city-centre-dublin-7/4512208
"Carrigmore Gardens, Citywest, Dublin","€2,100 per month","3 beds, 3 baths, Apartment",https://www.myhome.ie/rentals/brochure/carrigmore-gardens-citywest-dublin/4512204
"The Hardwick, Smithfield, Dublin 7","€1,700 per month","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/the-hardwick-smithfield-dublin-7/4512202
"Metropolitan Apartments, Kilmainham, Dublin 8","€1,650 per month","1 bed, 1 bath, 42m 2, , Apartment",https://www.myhome.ie/rentals/brochure/metropolitan-apartments-kilmainham-dublin-8/4497822
"Farmhill Road, Goatstown, Dublin 14","€1,850 per month","2 beds, 3 baths, Apartment",https://www.myhome.ie/rentals/brochure/farmhill-road-goatstown-dublin-14/4512176
"Beechwood Court, Stillorgan, County Dublin","€1,900 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/beechwood-court-stillorgan-county-dublin/4512186
"152 Shannon House , IFSC, Dublin 1","€2,000 per month","2 beds, 1 bath, 56m 2, , Apartment",https://www.myhome.ie/rentals/brochure/152-shannon-house-ifsc-dublin-1/4512145
"Gallery Quay, Block 1, Grand Canal Dk, Dublin 2","€2,200 per month","2 beds, 2 baths, 75m 2, , Apartment",https://www.myhome.ie/rentals/brochure/gallery-quay-block-1-grand-canal-dk-dublin-2/4505225
"Hanover Riverside, Grand Canal Dk, Dublin 2","€3,250 per month","2 beds, 2 baths, 110m 2, , Penthouse",https://www.myhome.ie/rentals/brochure/hanover-riverside-grand-canal-dk-dublin-2/4509649
"Quayside Quarter @ Dublin Landings, North Wall Quay, North Wall, Dublin 1","€3,500 per month","2 beds, 2 baths, 83m 2, , Apartment",https://www.myhome.ie/rentals/brochure/quayside-quarter-dublin-landings-north-wall-quay-north-wall-dublin-1/4464318
"11 Huband Court, Ballsbridge, Dublin 4","€1,900 per month","1 bed, 1 bath, 55m 2, , Apartment",https://www.myhome.ie/rentals/brochure/11-huband-court-ballsbridge-dublin-4/4428010
"Beresford House, Custom House Square, IFSC, Dublin 1","€2,600 per month","3 beds, 1 bath, 74m 2, , Apartment",https://www.myhome.ie/rentals/brochure/beresford-house-custom-house-square-ifsc-dublin-1/4483182
"Convent Hall, Milltown, Dublin 6","€3,750 per month","3 beds, 2 baths, 164m 2, , Apartment",https://www.myhome.ie/rentals/brochure/convent-hall-milltown-dublin-6/4478793
"Quayside Quarter, Docklands, Dublin 1","€5,000 per month","3 beds, 3 baths, 142m 2, , Apartment",https://www.myhome.ie/rentals/brochure/quayside-quarter-docklands-dublin-1/4478689
"Gallery Quay Block 4, Grand Canal Dk, Dublin 2","€1,850 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/gallery-quay-block-4-grand-canal-dk-dublin-2/4475664
