Address,Price per month €,Beds,Capacity,Link
"Salthill, Monkstown, Monkstown, Co. Dublin",1595,2,"2 bedrooms (1 single, 1 double), 1 bathroom, unfurnished",https://www.rent.ie/houses-to-let/Salthill-Monkstown-Monkstown-Co-Dublin/6213907/
"James Joyce Court, Millmount Avenue, Drumcondra, Dublin 3",1850,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/James-Joyce-Court-Millmount-Avenue-Drumcondra-Dublin-3/6213902/
"10 Cabra Road, Dublin 7",1090,1,studio apartment to rent,https://www.rent.ie/houses-to-let/10-Cabra-Road-Dublin-7/6213371/
"Strand Road, Sandymount, Dublin 4",4900,4,"4 bedrooms (4 double), 5 bathrooms, furnished",https://www.rent.ie/houses-to-let/Strand-Road-Sandymount-Dublin-4/6213887/
"Willbrook House, Ranelagh, Dublin 6",2000,2,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Willbrook-House-Ranelagh-Dublin-6/6213382/
"Woodfield, Rathfarnham, Dublin 14",2000,2,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Woodfield-Rathfarnham-Dublin-14/6213381/
"Grosvenor Road, Rathgar, Dublin 6",1400,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Grosvenor-Road-Rathgar-Dublin-6/6213367/
"Huxley Court, Dublin 8",2000,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Huxley-Court-Dublin-8/6213366/
"Apartment 96, Forbes Quay Apartments, Grand Canal Dock, Dublin 2",3925,3,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-96-Forbes-Quay-Apartments-Grand-Canal-Dock-Dublin-2/6213363/
"247 North Circular Road Dublin 7, Phibsborough, Dublin 7",840,1,studio apartment to rent,https://www.rent.ie/houses-to-let/247-North-Circular-Road-Dublin-7-Phibsborough-Dublin-7/6213346/
"64 Russell Ave, Drumcondra, Dublin 3",1900,3,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/64-Russell-Ave-Drumcondra-Dublin-3/6213337/
"The Hibernian, The Gasworks, Dublin 4",2400,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Hibernian-The-Gasworks-Dublin-4/6213347/
"17 Grand Canal Place, James\'s Street, Dublin 8",1800,2,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/17-Grand-Canal-Place-Jamess-Street-Dublin-8/6213324/
"Sherrard Avenue, Dublin 1",1595,2,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Sherrard-Avenue-Dublin-1/6213179/
"Ard Na Mara, Malahide, Co. Dublin",1166,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Ard-Na-Mara-Malahide-Co-Dublin/6213164/
"Castleforbes Square, IFSC, Dublin 1",2009,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Castleforbes-Square-IFSC-Dublin-1/6213172/
"Apartment 25, Glenesky Square, Phoenix Park Racecourse, Castleknock, Dublin 15",1900,2,"2 bedrooms (2 twin), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-25-Glenesky-Square-Phoenix-Park-Racecourse-Castleknock-Dublin-15/6213162/
"113 Harolds Cross Road, Harold's Cross, Co. Dublin",1575,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/113-Harolds-Cross-Road-Harolds-Cross-Co-Dublin/6101191/
"Dromard Road, Drimnagh, Drimnagh, Dublin 12",2100,3,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Dromard-Road-Drimnagh-Drimnagh-Dublin-12/6213159/
"74 Grosvenor Road Rathmines Dublin 6, Rathmines, Dublin 6",1000,1,studio apartment to rent,https://www.rent.ie/houses-to-let/74-Grosvenor-Road-Rathmines-Dublin-6-Rathmines-Dublin-6/6213059/
"Ballycorus Road, Kilternan, Stepaside, Dublin 18",2500,3,"3 bedrooms (1 single, 2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Ballycorus-Road-Kilternan-Stepaside-Dublin-18/6213053/
"Flat 8, Kincora House Belvedere Place, Dublin 1",1200,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-8-Kincora-House-Belvedere-Place-Dublin-1/6213051/
"Apartment 45, The Lighthouse, Dun Laoghaire, Co. Dublin",2100,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-45-The-Lighthouse-Dun-Laoghaire-Co-Dublin/6213055/
"Bloomfield Avenue, Portobello, Dublin 8",999,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Bloomfield-Avenue-Portobello-Dublin-8/6210859/
"Apartment 219, Beechwood Court, Stillorgan, Co. Dublin",2100,2,"2 bedrooms (1 single, 1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-219-Beechwood-Court-Stillorgan-Co-Dublin/6210992/
"2 Cabra Park, North Circular Road, Dublin 1",860,1,studio apartment to rent,https://www.rent.ie/houses-to-let/2-Cabra-Park-North-Circular-Road-Dublin-1/6210976/
"35 Leinster Rd Dublin 6, Rathmines, Dublin 6",1000,1,studio apartment to rent,https://www.rent.ie/houses-to-let/35-Leinster-Rd-Dublin-6-Rathmines-Dublin-6/6210968/
"7 Mountdown Park, Manor Estate, Templeogue, Dublin 6w",1150,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/7-Mountdown-Park-Manor-Estate-Templeogue-Dublin-6w/6210952/
"Rowan House, Mespil Road, Ballsbridge, Dublin 4",1450,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Rowan-House-Mespil-Road-Ballsbridge-Dublin-4/6210967/
"Beech Park Grove, Foxrock, Dublin 18",2900,4,"4 bedrooms (4 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Beech-Park-Grove-Foxrock-Dublin-18/6210895/
"Greencastle Road, Coolock, Dublin 13",2000,2,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Greencastle-Road-Coolock-Dublin-13/6210929/
"Gandon Hall, Gardiner Street Lower, Dublin 1",1500,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Gandon-Hall-Gardiner-Street-Lower-Dublin-1/6210897/
"140 Westend Village, Blanchardstown, Dublin 15",2000,3,"3 bedrooms (1 single, 1 double, 1 twin), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/140-Westend-Village-Blanchardstown-Dublin-15/6210887/
"City Gate, Dublin 8",1750,1,"1 bedroom (1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/City-Gate-Dublin-8/6210880/
"65 Ranelagh Village, Ranelagh, Dublin 6",1500,2,"2 bedrooms (2 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/65-Ranelagh-Village-Ranelagh-Dublin-6/6210890/
"5 Castleland Court, Balbriggan, Co. Dublin",1850,2,"2 bedrooms (1 double, 1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/5-Castleland-Court-Balbriggan-Co-Dublin/6210638/
"Apartment 53, 25 Wolfe Tone Street, Dublin 1",1550,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-53-25-Wolfe-Tone-Street-Dublin-1/6210197/
"Blind Quay, Lr Exchange Street, Temple Bar, Co. Dublin",1950,2,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Blind-Quay-Lr-Exchange-Street-Temple-Bar-Co-Dublin/6210076/
"Ballymun Road, Glasnevin, Dublin 11",1939,3,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Ballymun-Road-Glasnevin-Dublin-11/6210614/
"Belfield Court, Stillorgan Road, Dublin 4",1800,2,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Belfield-Court-Stillorgan-Road-Dublin-4/6210144/
"1 Mount Drummond Avenue, Harold's Cross, Dublin 6",3000,3,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/1-Mount-Drummond-Avenue-Harolds-Cross-Dublin-6/6206775/
"Thomas Davis Street South, Dublin 8",1850,2,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Thomas-Davis-Street-South-Dublin-8/6210070/
"Drumcondra Road Lower, Drumcondra, Dublin 3",1240,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Drumcondra-Road-Lower-Drumcondra-Dublin-3/6210055/
"Apartment 1, Longmeadows Apartments, Dublin 8",1850,2,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-1-Longmeadows-Apartments-Dublin-8/6210054/
"Single Bed, 4-c Chamber Street, Off Newmarket Square, Dublin 8",986,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Single-Bed-4-c-Chamber-Street-Off-Newmarket-Square-Dublin-8/6210049/
"The Watermill, Bettyglen, Raheny, Dublin 5",1800,2,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Watermill-Bettyglen-Raheny-Dublin-5/6209552/
"St. Donagh\'s Road, Donaghmede, Dublin 13",900,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/St-Donaghs-Road-Donaghmede-Dublin-13/6210013/
"Fontenoy Street, Phibsborough, Dublin 7",1000,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Fontenoy-Street-Phibsborough-Dublin-7/6209539/
