Address,Price per month €,Beds,Capacity,Link
"O'connell Street Lower, Dublin 1, Dublin, D01 HR04",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/o-connell-street-lower-dublin-1-dublin-d01-hr04/4501392
"Sean McDermott Street Apartments, Sean McDermott Street Lower, Dublin",0.0,0,", Apartment",https://www.myhome.ie/rentals/brochure/sean-mcdermott-street-apartments-sean-mcdermott-street-lower-dublin/4483891
"Kenilworth Road, Rathmines, Dublin 6",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/kenilworth-road-rathmines-dublin-6/4419731
"Cranford Court, Donnybrook, Dublin 4",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/cranford-court-donnybrook-dublin-4/4418145
"Christchurch View, Christchurch, Dublin 8",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/christchurch-view-christchurch-dublin-8/4415413
"Leicester Avenue, Rathgar, Dublin 6",0.0,0,House,https://www.myhome.ie/rentals/brochure/leicester-avenue-rathgar-dublin-6/4414550
"Bachelors walk, Dublin 1, Dublin",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/bachelors-walk-dublin-1-dublin/4411935
"Bowbridge Place, Kilmainham, Dublin 8",0.0,0,Apartment,https://www.myhome.ie/rentals/brochure/bowbridge-place-kilmainham-dublin-8/4411211
"55 Foster Terrace, Ballybough, Dublin 3",1150.0,0,", Studio",https://www.myhome.ie/rentals/brochure/55-foster-terrace-ballybough-dublin-3/4520068
"The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",1825.0,0,"0 bedrooms, 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Crescent-Carrickmines-Manor-Carrickmines-Dublin-18/6149053/
"The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",1825.0,0,"2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-crescent-carrickmines-manor-carrickmines-dublin-18/3531383
"17 Portobello Dock, Portobello, Dublin 8",2000.0,0,"2 baths, 56m 2, , Apartment",https://www.myhome.ie/rentals/brochure/17-portobello-dock-portobello-dublin-8/4525666
"98 Francis Street, Christchurch, Dublin 8",2100.0,0,"2 baths, 80m 2, , Apartment",https://www.myhome.ie/rentals/brochure/98-francis-street-christchurch-dublin-8/4528708
"Crannagh Castle, Rathfarnham, Dublin 14",2340.0,0,House,https://www.myhome.ie/rentals/brochure/crannagh-castle-rathfarnham-dublin-14/4528139
"Shrewsbury, Shrewsbury Park, Ballsbridge, Dublin 4, Dublin",2500.0,0,"1 bath, 63m 2, , Apartment",https://www.myhome.ie/rentals/brochure/shrewsbury-shrewsbury-park-ballsbridge-dublin-4-dublin/3843024
"36 Parnell Road, Harold's Cross - D12,   Dublin 12",3000.0,0,"2 baths, 1300ft 2, ",https://www.myhome.ie/rentals/brochure/36-parnell-road-harold-s-cross-d12-dublin-12/4395116
"St. Donaghs Road, Donaghmede, Dublin 13",0.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/st-donaghs-road-donaghmede-dublin-13/4530275
"Hazelwood Student Village, Hazelwood Student Villa, Dublin",500.0,1,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/short-term-rental/Hazelwood-Student-Village-Hazelwood-Student-Villa/2028085
"Apartment, Hazelwood Student Village, Hazelwood Student Villa, Santry, Dublin 9",500.0,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-Hazelwood-Student-Village-Hazelwood-Student-Villa-Santry-Dublin-9/2028085/
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",500.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"Ellensborough Avenue, Kiltipper , Tallaght, Dublin 24",500.0,1,"1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/ellensborough-avenue-kiltipper-tallaght-dublin-24/4513902
"Abridge House, 20 Cabra Road, Dublin 7",600.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Abridge-House-20-Cabra-Road-Dublin-7/6193248/
"Abridge House, 20 Cabra Road, Dublin 7",600.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-abridge-house-20-cabra-road-dublin-7/3540462
"30 Biscayne, Dublin",625.0,1,furnished studio,https://www.let.ie/property-to-rent/30-Biscayne/6174794
"30 Biscayne, Malahide, Co. Dublin",625.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/30-Biscayne-Malahide-Co-Dublin/6174794/
"30 Biscayne, Malahide, Co. Dublin",625.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-30-biscayne-malahide-co-dublin/3537319
"Schoolhouse Lane, Santry, Dublin 9",699.0,1,"1 bed, 90m 2, Apartment",https://www.myhome.ie/rentals/brochure/schoolhouse-lane-santry-dublin-9/4452711
"559 North Circular Road, Dublin 1",700.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/559-North-Circular-Road-Dublin-1/5227991/
"559 North Circular Road, Dublin 1",700.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"College Park, Terenure, Dublin 6W",700.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-college-park-terenure-dublin-6w/3532491
"College Park, Terenure, Dublin 6w",700.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/College-Park-Terenure-Dublin-6w/6153579/
"9 dargle lodge knocklyon road, Knocklyon, Dublin 16",700.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-9-dargle-lodge-knocklyon-road-knocklyon-dublin-16/3540148
"9 Dargle Lodge Knocklyon Road, Knocklyon, Dublin 16",700.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/9-Dargle-Lodge-Knocklyon-Road-Knocklyon-Dublin-16/6190450/
"103 South Circular Road, Dublin 8",720.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/103-South-Circular-Road-Dublin-8/6188503/
"103 South Circular Road, Dublin 8",720.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-103-south-circular-road-dublin-8/3539455
"29 Saint Fintan Road, Cabra, Dublin 7",740.0,1,"1 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-29-saint-fintan-road-cabra-dublin-7/3239587
"North Circular Rd, North Circular Road, Dublin 1",770.0,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/North-Circular-Rd-North-Circular-Road-Dublin-1/5608005/
"North Circular Rd, North Circular Road, Dublin 1",770.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-north-circular-rd-north-circular-road-dublin-1/3456909
"26 Áscaill Páirc An Tsíoda, Dublin 22, Co. Dublin, Citywest, Dublin",795.0,1,"1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/26-scaill-p-irc-an-ts-oda-dublin-22-co-dublin-citywest-dublin/4474340
"Citywest Golf Hotel, Garters Lane, Citywest, Co. Dublin",795.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-citywest-golf-hotel-garters-lane-citywest-co-dublin/3268417
"Citywest Golf Hotel, Garters Lane, Citywest, Co. Dublin",795.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Citywest-Golf-Hotel-Garters-Lane-Citywest-Co-Dublin/5116977/
"Johnstown Road, Cabinteely, Dublin 18",800.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-johnstown-road-cabinteely-dublin-18/3541558
"The Crescent, Lucan, Co. Dublin",800.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/The-Crescent-Lucan-Co-Dublin/5595455/
"Greenwood Court, Ayrfield, Ard Na Greine, Dublin 13",800.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Greenwood-Court-Ayrfield-Ard-Na-Greine-Dublin-13/5762162/
"Greenwood Court, Ayrfield, Ard Na Greine, Dublin 13",800.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-greenwood-court-ayrfield-ard-na-greine-dublin-13/3474927
"The Crescent, Lucan, Co. Dublin",800.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-the-crescent-lucan-co-dublin/3453904
"Liffey Terrace, Liffey Valley Park, Lucan, Co. Dublin",800.0,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Liffey-Terrace-Liffey-Valley-Park-Lucan-Co-Dublin/6026868/
"Liffey Terrace, Liffey Valley Park, Lucan, Co. Dublin",800.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-liffey-terrace-liffey-valley-park-lucan-co-dublin/3502788
"Mourns View, Skerries, County Dublin",800.0,1,"1 bed, 1 bath, Studio",https://www.myhome.ie/rentals/brochure/mourns-view-skerries-county-dublin/4528086
"Camac Park, Bluebell, Dublin 12",800.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-camac-park-bluebell-dublin-12/3508179
"Camac Park, Bluebell, Dublin 12, Bluebell, Dublin 12",800.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Camac-Park-Bluebell-Dublin-12-Bluebell-Dublin-12/6051322/
"Johnstown Road, Cabinteely, Dublin 18",800.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Johnstown-Road-Cabinteely-Dublin-18/6197172/
"'belgravia', 12a Garville Road, Rathgar, Dublin 6",830.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/belgravia-12a-Garville-Road-Rathgar-Dublin-6/5856679/
"North Circular Road, North Dublin City, Dublin 7",830.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/North-Circular-Road-North-Dublin-City-Dublin-7/6190417/
"North Circular Road, North Dublin City, Dublin 7",830.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-north-circular-road-north-dublin-city-dublin-7/3540109
"'Belgravia', 12A Garville Road, Rathgar, Dublin 6",830.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-belgravia-12a-garville-road-rathgar-dublin-6/3484969
"247 north circular road dublin 7, Phibsborough, Dublin 7",840.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-247-north-circular-road-dublin-7-phibsborough-dublin-7/3545060
"247 North Circular Road Dublin 7, Phibsborough, Dublin 7",840.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/247-North-Circular-Road-Dublin-7-Phibsborough-Dublin-7/6213346/
"Furry Park road, Dollymount, Dublin 3",840.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-furry-park-road-dollymount-dublin-3/3418912
"Furry Park Road, Dollymount, Dublin 3",840.0,1,"1 bedroom (1 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Furry-Park-Road-Dollymount-Dublin-3/5323870/
"Flat 5, 80 Whitworth Road, Drumcondra, Dublin 3",850.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-flat-5-80-whitworth-road-drumcondra-dublin-3/3524200
"North Great Georges Street, Dublin 1",850.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/North-Great-Georges-Street-Dublin-1/6151601/
"Flat 5, 80 Whitworth Road, Drumcondra, Dublin 3",850.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-5-80-Whitworth-Road-Drumcondra-Dublin-3/6118487/
