Address,Price per month €,Beds,Capacity,Link
"The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",1825.0,0,"0 bedrooms, 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Crescent-Carrickmines-Manor-Carrickmines-Dublin-18/6149053/
"The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",1825.0,0,"2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-crescent-carrickmines-manor-carrickmines-dublin-18/3531383
"St. Donaghs Road, Donaghmede, Dublin 13",0.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/st-donaghs-road-donaghmede-dublin-13/4530275
"North Circular Rd, North Circular Road, Dublin 1",770.0,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/North-Circular-Rd-North-Circular-Road-Dublin-1/5608005/
"North Circular Rd, North Circular Road, Dublin 1",770.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-north-circular-rd-north-circular-road-dublin-1/3456909
"247 north circular road dublin 7, Phibsborough, Dublin 7",840.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-247-north-circular-road-dublin-7-phibsborough-dublin-7/3545060
"247 North Circular Road Dublin 7, Phibsborough, Dublin 7",840.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/247-North-Circular-Road-Dublin-7-Phibsborough-Dublin-7/6213346/
"2 Cabra Park, North Circular Road, Dublin 1",860.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-2-cabra-park-north-circular-road-dublin-1/3544589
"2 Cabra Park, North Circular Road, Dublin 1",860.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/2-Cabra-Park-North-Circular-Road-Dublin-1/6210976/
"Twin En Suite Shared Bathroom 2021/22 Tenancy , From Here - Student Living, Blackhall Place, Black, Dublin 7, Co. Dublin",880.0,1,"1 bedroom (1 twin), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Twin-En-Suite-Shared-Bathroom-202122-Tenancy--From-Here---Student-Living-Blackhall-Place-Black-Dublin-7-Co-Dublin/3711996
"St. Donagh's Road, Donaghmede, Dublin 13",900.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-st-donaghs-road-donaghmede-dublin-13/3544195
"St. Donagh\'s Road,, Dublin",900.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/St-Donaghs-Road/6210013
"St. Donagh\'s Road, Donaghmede, Dublin 13",900.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/St-Donaghs-Road-Donaghmede-Dublin-13/6210013/
