Address,Price per month €,Beds,Capacity,Link
"Watermeadow Drive, Tallaght, Dublin 24",2000.0,4,"4 beds, 1 bath, , Semi-Detached",https://www.myhome.ie/rentals/brochure/watermeadow-drive-tallaght-dublin-24/4494532
"1A Emmet Street, Dublin 1",2150.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-1a-emmet-street-dublin-1/2632127
"1A Emmet Street, Dublin 1",2150.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/1A-Emmet-Street-Dublin-1/3146705/
"12 Clifden Drive, Ballyfermot, Dublin 10",2200.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-12-clifden-drive-ballyfermot-dublin-10/3243226
"12 Clifden Drive, Ballyfermot, Dublin",2200.0,4,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/12-Clifden-Drive-Ballyfermot/4967741
"12 Clifden Drive, Ballyfermot, Ballyfermot, Dublin 10",2200.0,4,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/12-Clifden-Drive-Ballyfermot-Ballyfermot-Dublin-10/4967741/
"Millbrook Lawns, Tallaght, Dublin 24",2200.0,4,"4 beds, 1 bath, Semi-Detached",https://www.myhome.ie/rentals/brochure/millbrook-lawns-tallaght-dublin-24/4493658
"37 Abbeywood Court, Lucan, Co. Dublin",2250.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-37-abbeywood-court-lucan-co-dublin/3421556
"14 Parkland Drive, Dublin 24, Dublin",2250.0,4,"4 beds, 3 baths, Semi-Detached",https://www.myhome.ie/rentals/brochure/14-parkland-drive-dublin-24-dublin/4509749
"37 Abbeywood Court, Lucan, Co. Dublin",2250.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/37-Abbeywood-Court-Lucan-Co-Dublin/5348266
"14 Parklands Drive, Ballycullen, Ballycullen, Dublin 16",2250.0,4,"4 bedrooms (2 single, 1 double, 1 twin), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/14-Parklands-Drive-Ballycullen-Ballycullen-Dublin-16/5321152/
"14 Parklands Drive, Ballycullen, Dublin 16",2250.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-14-parklands-drive-ballycullen-dublin-16/3418481
"37 Abbeywood Court, Lucan, Co. Dublin",2250.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/37-Abbeywood-Court-Lucan-Co-Dublin/5348266/
"Park Avenue, Swords, Dublin",2300.0,4,"4 beds, 3 baths, Semi-Detached",https://www.myhome.ie/rentals/brochure/park-avenue-swords-dublin/4507803
"Cedar Walk, Raheny, Dublin 5",2300.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-cedar-walk-raheny-dublin-5/3435911
"The Courtyard, Parkview, Swords, Co. Dublin",2300.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-the-courtyard-parkview-swords-co-dublin/3228559
"Walnut Court, Glasnevin, Dublin 9",2300.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Walnut-Court-Glasnevin-Dublin-9/5325485/
"The Courtyard, Parkview, Dublin",2300.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/The-Courtyard-Parkview/4867512
"Park Ave, Brackenstown Road,, Dublin",2300.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms house",https://www.let.ie/property-to-rent/Park-Ave-Brackenstown-Road/5077764
"Park Ave, Brackenstown Road, Swords, Co. Dublin",2300.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Park-Ave-Brackenstown-Road-Swords-Co-Dublin/5077764/
"St Maelruans Park, Tallaght, Dublin 24",2300.0,4,"4 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/st-maelruans-park-tallaght-dublin-24/4487957
"2 Hermitage Way, Lucan, Dublin",2300.0,4,"4 beds, 2 baths, Detached",https://www.myhome.ie/rentals/brochure/2-hermitage-way-lucan-dublin/4511255
"Cedar Walk, Raheny, Dublin 5",2300.0,4,"4 bedrooms (4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Cedar-Walk-Raheny-Dublin-5/5479759/
"The Courtyard, Parkview, Swords, Co. Dublin",2300.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Courtyard-Parkview-Swords-Co-Dublin/4867512/
"Park Ave, Brackenstown Road, Swords, Co. Dublin",2300.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-park-ave-brackenstown-road-swords-co-dublin/3262719
"Walnut Court, Glasnevin, Dublin 9",2300.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-walnut-court-glasnevin-dublin-9/3419102
